CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
All Particles,10/13/20,10:02:21,1339,758.47,889.20,1.17,839.24,820.04,1173.37,2596.30,2575.57,0.00,845.34,889.20,758.47,815.30,649.07,649.07,917.93,640.33,6305.95,6459.76,204.02,821.24,529700.00,0.00,529700.00,541300.00,230400000.00,0.00,84.00,82.00,149.52,152.53,0.23,100.00,1.17,1.00,1.32,0.78,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1339,800.50,884.03,1.10,895.98,807.68,1206.28,2649.31,2644.56,0.00,896.27,884.03,800.50,807.54,662.33,662.33,936.67,634.24,6696.39,6315.91,209.79,841.23,555800.00,0.00,555800.00,568450.00,230400000.00,0.00,83.00,88.00,35.02,35.46,0.24,100.00,1.10,1.00,1.41,0.78,1.00,1.00,1.00,1.00,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,765.84,931.86,1.22,894.40,814.21,1209.50,2679.45,2652.10,0.00,898.11,931.86,765.84,812.26,669.86,669.86,947.33,637.95,6442.53,6517.44,209.18,844.78,560500.00,0.00,560500.00,572950.00,230400000.00,0.00,87.00,86.00,70.39,71.16,0.24,100.00,1.22,1.00,1.41,0.76,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,745.94,930.09,1.25,863.35,782.34,1165.09,2648.54,2629.63,0.00,902.72,930.09,745.94,785.90,662.14,662.14,936.40,617.25,6727.16,6263.22,205.74,832.94,544900.00,0.00,544900.00,557200.00,230400000.00,0.00,81.00,87.00,153.83,129.16,0.24,100.00,1.25,1.00,1.46,0.77,1.01,0.99,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,758.75,931.33,1.23,859.19,835.74,1198.61,2668.58,2648.41,0.00,871.32,931.33,758.75,829.27,667.14,667.14,943.49,651.31,6529.41,6607.14,207.98,840.62,555000.00,0.00,555000.00,567500.00,230400000.00,0.00,85.00,84.00,129.91,148.13,0.24,100.00,1.23,1.00,1.34,0.78,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,761.16,877.53,1.15,841.61,805.24,1164.78,2580.53,2570.39,0.00,853.76,877.53,761.16,799.80,645.13,645.13,912.36,628.17,6476.54,6171.76,203.29,817.28,524600.00,0.00,524600.00,536300.00,230400000.00,0.00,81.00,85.00,175.47,174.62,0.23,100.00,1.15,1.00,1.36,0.76,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,722.44,860.41,1.19,840.00,750.00,1126.10,2495.77,2485.92,0.00,840.95,860.41,722.44,756.64,623.94,623.94,882.39,594.27,6340.26,5811.90,195.61,788.41,488200.00,0.00,488200.00,499750.00,230400000.00,0.00,77.00,84.00,178.53,2.73,0.21,100.00,1.19,1.00,1.42,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,792.11,952.38,1.20,890.02,845.51,1227.61,2751.79,2731.45,0.00,917.88,952.38,792.11,839.65,687.95,687.95,972.90,659.46,6810.34,6510.99,215.31,868.56,592500.00,0.00,592500.00,605300.00,230400000.00,0.00,87.00,91.00,156.19,172.49,0.26,100.00,1.20,1.00,1.39,0.75,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1340,767.31,892.24,1.16,883.88,784.89,1182.07,2614.18,2603.64,0.00,896.27,892.24,767.31,780.12,653.55,653.55,924.25,612.71,6478.31,6478.31,205.69,827.42,537700.00,0.00,537700.00,549150.00,230400000.00,0.00,83.00,83.00,134.66,125.46,0.23,100.00,1.16,1.00,1.46,0.78,1.01,0.99,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1341,729.72,838.57,1.15,820.00,760.00,1118.03,2469.39,2449.35,0.00,827.10,838.57,729.72,756.69,617.35,617.35,873.06,594.30,6323.68,5721.43,194.62,782.25,480600.00,0.00,480600.00,491550.00,230400000.00,0.00,76.00,84.00,178.52,14.71,0.21,100.00,1.15,1.00,1.39,0.77,1.00,1.00,1.00,0.99,0.98,0.00,0.00
